case_id,text,district_id,crime_subhead_id,date,case_status_id
37,"Case 37 (Crime No: 100080039202514848): House Burglary reported near Tumakuru PS-5 jurisdiction. Registered on 2025-07-15. District ID 8, Police Station ID 39. Case status ID: 3. Gravity ID: 2.",8,4,2025-07-15,3
38,"Case 38 (Crime No: 100010001202601704): Online Financial Fraud reported near Bengaluru PS-1 jurisdiction. Registered on 2026-04-04. District ID 1, Police Station ID 1. Case status ID: 1. Gravity ID: 1.",1,9,2026-04-04,1
39,"Case 39 (Crime No: 100070033202505081): Rioting reported near Ballari PS-4 jurisdiction. Registered on 2025-04-19. District ID 7, Police Station ID 33. Case status ID: 2. Gravity ID: 2.",7,13,2025-04-19,2
40,"Case 40 (Crime No: 100090043202515292): Grievous Hurt reported near Shivamogga PS-3 jurisdiction. Registered on 2025-05-31. District ID 9, Police Station ID 43. Case status ID: 3. Gravity ID: 1.",9,2,2025-05-31,3
41,"Case 41 (Crime No: 100010001202408119): Online Financial Fraud reported near Bengaluru PS-1 jurisdiction. Registered on 2024-04-16. District ID 1, Police Station ID 1. Case status ID: 2. Gravity ID: 1.",1,9,2024-04-16,2
42,"Case 42 (Crime No: 100010001202406573): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2024-09-07. District ID 1, Police Station ID 1. Case status ID: 3. Gravity ID: 1.",1,6,2024-09-07,3
43,"Case 43 (Crime No: 100010002202408494): Online Financial Fraud reported near Bengaluru PS-2 jurisdiction. Registered on 2024-06-26. District ID 1, Police Station ID 2. Case status ID: 3. Gravity ID: 1.",1,9,2024-06-26,3
44,"Case 44 (Crime No: 100030014202405506): Vehicle Theft reported near Mangaluru PS-6 jurisdiction. Registered on 2024-02-11. District ID 3, Police Station ID 14. Case status ID: 1. Gravity ID: 2.",3,5,2024-02-11,1
45,"Case 45 (Crime No: 100010003202402553): Chain Snatching reported near Bengaluru PS-3 jurisdiction. Registered on 2024-07-25. District ID 1, Police Station ID 3. Case status ID: 2. Gravity ID: 2.",1,6,2024-07-25,2
46,"Case 46 (Crime No: 100010004202401099): Online Financial Fraud reported near Bengaluru PS-4 jurisdiction. Registered on 2024-01-12. District ID 1, Police Station ID 4. Case status ID: 3. Gravity ID: 2.",1,9,2024-01-12,3
47,"Case 47 (Crime No: 100060028202514858): Drug Peddling reported near Kalaburagi PS-5 jurisdiction. Registered on 2025-01-04. District ID 6, Police Station ID 28. Case status ID: 3. Gravity ID: 1.",6,11,2025-01-04,3
48,"Case 48 (Crime No: 100010003202603935): Online Financial Fraud reported near Bengaluru PS-3 jurisdiction. Registered on 2026-04-24. District ID 1, Police Station ID 3. Case status ID: 4. Gravity ID: 1.",1,9,2026-04-24,4
49,"Case 49 (Crime No: 100010002202502424): Chain Snatching reported near Bengaluru PS-2 jurisdiction. Registered on 2025-03-24. District ID 1, Police Station ID 2. Case status ID: 1. Gravity ID: 2.",1,6,2025-03-24,1
50,"Case 50 (Crime No: 100050019202514134): House Burglary reported near Hubballi-Dharwad PS-1 jurisdiction. Registered on 2025-07-12. District ID 5, Police Station ID 19. Case status ID: 3. Gravity ID: 2.",5,4,2025-07-12,3
51,"Case 51 (Crime No: 100030012202509611): Vehicle Theft reported near Mangaluru PS-4 jurisdiction. Registered on 2025-06-02. District ID 3, Police Station ID 12. Case status ID: 3. Gravity ID: 2.",3,5,2025-06-02,3
52,"Case 52 (Crime No: 100060027202403546): Drug Peddling reported near Kalaburagi PS-4 jurisdiction. Registered on 2024-12-28. District ID 6, Police Station ID 27. Case status ID: 2. Gravity ID: 1.",6,11,2024-12-28,2
53,"Case 53 (Crime No: 100060029202410942): Public Nuisance reported near Kalaburagi PS-6 jurisdiction. Registered on 2024-01-03. District ID 6, Police Station ID 29. Case status ID: 1. Gravity ID: 2.",6,14,2024-01-03,1
54,"Case 54 (Crime No: 100070034202608368): Rioting reported near Ballari PS-5 jurisdiction. Registered on 2026-04-30. District ID 7, Police Station ID 34. Case status ID: 3. Gravity ID: 2.",7,13,2026-04-30,3
55,"Case 55 (Crime No: 100020006202408649): Dowry Harassment reported near Mysuru PS-2 jurisdiction. Registered on 2024-05-13. District ID 2, Police Station ID 6. Case status ID: 3. Gravity ID: 1.",2,8,2024-05-13,3
56,"Case 56 (Crime No: 100010002202407443): Chain Snatching reported near Bengaluru PS-2 jurisdiction. Registered on 2024-04-22. District ID 1, Police Station ID 2. Case status ID: 3. Gravity ID: 2.",1,6,2024-04-22,3
57,"Case 57 (Crime No: 100060027202403854): Drug Peddling reported near Kalaburagi PS-4 jurisdiction. Registered on 2024-03-08. District ID 6, Police Station ID 27. Case status ID: 2. Gravity ID: 2.",6,11,2024-03-08,2
58,"Case 58 (Crime No: 100010001202605724): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2026-03-24. District ID 1, Police Station ID 1. Case status ID: 1. Gravity ID: 1.",1,6,2026-03-24,1
59,"Case 59 (Crime No: 100070031202514154): Drug Possession reported near Ballari PS-2 jurisdiction. Registered on 2025-02-03. District ID 7, Police Station ID 31. Case status ID: 2. Gravity ID: 1.",7,12,2025-02-03,2
60,"Case 60 (Crime No: 100020007202513614): Online Financial Fraud reported near Mysuru PS-3 jurisdiction. Registered on 2025-10-24. District ID 2, Police Station ID 7. Case status ID: 4. Gravity ID: 2.",2,9,2025-10-24,4
61,"Case 61 (Crime No: 100010004202613123): House Burglary reported near Bengaluru PS-4 jurisdiction. Registered on 2026-06-05. District ID 1, Police Station ID 4. Case status ID: 1. Gravity ID: 1.",1,4,2026-06-05,1
62,"Case 62 (Crime No: 100070032202507886): Rioting reported near Ballari PS-3 jurisdiction. Registered on 2025-07-28. District ID 7, Police Station ID 32. Case status ID: 1. Gravity ID: 2.",7,13,2025-07-28,1
63,"Case 63 (Crime No: 100010003202604923): Online Financial Fraud reported near Bengaluru PS-3 jurisdiction. Registered on 2026-02-09. District ID 1, Police Station ID 3. Case status ID: 1. Gravity ID: 1.",1,9,2026-02-09,1
64,"Case 64 (Crime No: 100030009202510435): Public Nuisance reported near Mangaluru PS-1 jurisdiction. Registered on 2025-09-07. District ID 3, Police Station ID 9. Case status ID: 2. Gravity ID: 1.",3,14,2025-09-07,2
65,"Case 65 (Crime No: 100020006202505927): Dowry Harassment reported near Mysuru PS-2 jurisdiction. Registered on 2025-04-17. District ID 2, Police Station ID 6. Case status ID: 3. Gravity ID: 1.",2,8,2025-04-17,3
66,"Case 66 (Crime No: 100050019202513388): House Burglary reported near Hubballi-Dharwad PS-1 jurisdiction. Registered on 2025-04-30. District ID 5, Police Station ID 19. Case status ID: 1. Gravity ID: 2.",5,4,2025-04-30,1
67,"Case 67 (Crime No: 100020005202409707): Dowry Harassment reported near Mysuru PS-1 jurisdiction. Registered on 2024-10-31. District ID 2, Police Station ID 5. Case status ID: 1. Gravity ID: 1.",2,8,2024-10-31,1
68,"Case 68 (Crime No: 100010004202516427): Drug Peddling reported near Bengaluru PS-4 jurisdiction. Registered on 2025-10-13. District ID 1, Police Station ID 4. Case status ID: 2. Gravity ID: 1.",1,11,2025-10-13,2
69,"Case 69 (Crime No: 100010004202601504): Chain Snatching reported near Bengaluru PS-4 jurisdiction. Registered on 2026-06-06. District ID 1, Police Station ID 4. Case status ID: 2. Gravity ID: 1.",1,6,2026-06-06,2
70,"Case 70 (Crime No: 100060028202404668): Drug Peddling reported near Kalaburagi PS-5 jurisdiction. Registered on 2024-05-16. District ID 6, Police Station ID 28. Case status ID: 1. Gravity ID: 2.",6,11,2024-05-16,1
71,"Case 71 (Crime No: 100070031202500164): Rioting reported near Ballari PS-2 jurisdiction. Registered on 2025-03-27. District ID 7, Police Station ID 31. Case status ID: 4. Gravity ID: 2.",7,13,2025-03-27,4
72,"Case 72 (Crime No: 100010001202405643): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2024-12-04. District ID 1, Police Station ID 1. Case status ID: 3. Gravity ID: 1.",1,6,2024-12-04,3
73,"Case 73 (Crime No: 100010003202409254): Online Financial Fraud reported near Bengaluru PS-3 jurisdiction. Registered on 2024-01-15. District ID 1, Police Station ID 3. Case status ID: 1. Gravity ID: 2.",1,9,2024-01-15,1
74,"Case 74 (Crime No: 100030010202500749): Vehicle Theft reported near Mangaluru PS-2 jurisdiction. Registered on 2025-11-18. District ID 3, Police Station ID 10. Case status ID: 4. Gravity ID: 2.",3,5,2025-11-18,4
75,"Case 75 (Crime No: 100030010202501546): Vehicle Theft reported near Mangaluru PS-2 jurisdiction. Registered on 2025-04-16. District ID 3, Police Station ID 10. Case status ID: 3. Gravity ID: 2.",3,5,2025-04-16,3
76,"Case 76 (Crime No: 100020007202504763): Dowry Harassment reported near Mysuru PS-3 jurisdiction. Registered on 2025-07-08. District ID 2, Police Station ID 7. Case status ID: 2. Gravity ID: 1.",2,8,2025-07-08,2
77,"Case 77 (Crime No: 100050023202410791): Phishing / Identity Theft reported near Hubballi-Dharwad PS-5 jurisdiction. Registered on 2024-04-15. District ID 5, Police Station ID 23. Case status ID: 2. Gravity ID: 2.",5,10,2024-04-15,2
78,"Case 78 (Crime No: 100060027202613252): Phishing / Identity Theft reported near Kalaburagi PS-4 jurisdiction. Registered on 2026-02-12. District ID 6, Police Station ID 27. Case status ID: 3. Gravity ID: 2.",6,10,2026-02-12,3
79,"Case 79 (Crime No: 100010004202608571): Chain Snatching reported near Bengaluru PS-4 jurisdiction. Registered on 2026-06-01. District ID 1, Police Station ID 4. Case status ID: 1. Gravity ID: 1.",1,6,2026-06-01,1
80,"Case 80 (Crime No: 100030014202414048): Grievous Hurt reported near Mangaluru PS-6 jurisdiction. Registered on 2024-10-26. District ID 3, Police Station ID 14. Case status ID: 1. Gravity ID: 1.",3,2,2024-10-26,1
81,"Case 81 (Crime No: 100010004202504833): Online Financial Fraud reported near Bengaluru PS-4 jurisdiction. Registered on 2025-11-11. District ID 1, Police Station ID 4. Case status ID: 1. Gravity ID: 2.",1,9,2025-11-11,1
82,"Case 82 (Crime No: 100030010202617323): Grievous Hurt reported near Mangaluru PS-2 jurisdiction. Registered on 2026-02-01. District ID 3, Police Station ID 10. Case status ID: 2. Gravity ID: 1.",3,2,2026-02-01,2
83,"Case 83 (Crime No: 100020005202513392): Drug Possession reported near Mysuru PS-1 jurisdiction. Registered on 2025-01-28. District ID 2, Police Station ID 5. Case status ID: 2. Gravity ID: 2.",2,12,2025-01-28,2
84,"Case 84 (Crime No: 100010002202401208): Online Financial Fraud reported near Bengaluru PS-2 jurisdiction. Registered on 2024-07-09. District ID 1, Police Station ID 2. Case status ID: 4. Gravity ID: 2.",1,9,2024-07-09,4
85,"Case 85 (Crime No: 100020006202507978): Dowry Harassment reported near Mysuru PS-2 jurisdiction. Registered on 2025-04-20. District ID 2, Police Station ID 6. Case status ID: 1. Gravity ID: 1.",2,8,2025-04-20,1
86,"Case 86 (Crime No: 100010002202509600): Chain Snatching reported near Bengaluru PS-2 jurisdiction. Registered on 2025-08-11. District ID 1, Police Station ID 2. Case status ID: 2. Gravity ID: 1.",1,6,2025-08-11,2
87,"Case 87 (Crime No: 100010001202501645): Online Financial Fraud reported near Bengaluru PS-1 jurisdiction. Registered on 2025-08-09. District ID 1, Police Station ID 1. Case status ID: 1. Gravity ID: 2.",1,9,2025-08-09,1
88,"Case 88 (Crime No: 100070032202603883): Rioting reported near Ballari PS-3 jurisdiction. Registered on 2026-06-05. District ID 7, Police Station ID 32. Case status ID: 2. Gravity ID: 2.",7,13,2026-06-05,2
89,"Case 89 (Crime No: 100060028202406561): Drug Peddling reported near Kalaburagi PS-5 jurisdiction. Registered on 2024-12-26. District ID 6, Police Station ID 28. Case status ID: 3. Gravity ID: 2.",6,11,2024-12-26,3
90,"Case 90 (Crime No: 100090041202610295): Attempt to Murder reported near Shivamogga PS-1 jurisdiction. Registered on 2026-03-02. District ID 9, Police Station ID 41. Case status ID: 2. Gravity ID: 1.",9,3,2026-03-02,2
91,"Case 91 (Crime No: 100060029202407358): Drug Peddling reported near Kalaburagi PS-6 jurisdiction. Registered on 2024-06-14. District ID 6, Police Station ID 29. Case status ID: 2. Gravity ID: 2.",6,11,2024-06-14,2
92,"Case 92 (Crime No: 100010001202408380): Online Financial Fraud reported near Bengaluru PS-1 jurisdiction. Registered on 2024-10-07. District ID 1, Police Station ID 1. Case status ID: 2. Gravity ID: 1.",1,9,2024-10-07,2
93,"Case 93 (Crime No: 100010004202407456): Online Financial Fraud reported near Bengaluru PS-4 jurisdiction. Registered on 2024-11-26. District ID 1, Police Station ID 4. Case status ID: 1. Gravity ID: 1.",1,9,2024-11-26,1
94,"Case 94 (Crime No: 100030014202514394): Chain Snatching reported near Mangaluru PS-6 jurisdiction. Registered on 2025-08-02. District ID 3, Police Station ID 14. Case status ID: 2. Gravity ID: 2.",3,6,2025-08-02,2
95,"Case 95 (Crime No: 100080039202417926): Murder reported near Tumakuru PS-5 jurisdiction. Registered on 2024-06-21. District ID 8, Police Station ID 39. Case status ID: 1. Gravity ID: 1.",8,1,2024-06-21,1
96,"Case 96 (Crime No: 100040016202417769): Online Financial Fraud reported near Belagavi PS-2 jurisdiction. Registered on 2024-10-17. District ID 4, Police Station ID 16. Case status ID: 2. Gravity ID: 1.",4,9,2024-10-17,2
97,"Case 97 (Crime No: 100030009202602114): Vehicle Theft reported near Mangaluru PS-1 jurisdiction. Registered on 2026-04-09. District ID 3, Police Station ID 9. Case status ID: 3. Gravity ID: 2.",3,5,2026-04-09,3
98,"Case 98 (Crime No: 100060025202504958): Drug Peddling reported near Kalaburagi PS-2 jurisdiction. Registered on 2025-11-04. District ID 6, Police Station ID 25. Case status ID: 1. Gravity ID: 2.",6,11,2025-11-04,1
99,"Case 99 (Crime No: 100010002202611087): Drug Possession reported near Bengaluru PS-2 jurisdiction. Registered on 2026-05-27. District ID 1, Police Station ID 2. Case status ID: 3. Gravity ID: 2.",1,12,2026-05-27,3
100,"Case 100 (Crime No: 100030014202410690): Chain Snatching reported near Mangaluru PS-6 jurisdiction. Registered on 2024-08-12. District ID 3, Police Station ID 14. Case status ID: 4. Gravity ID: 1.",3,6,2024-08-12,4
101,"Case 101 (Crime No: 100010003202501929): Chain Snatching reported near Bengaluru PS-3 jurisdiction. Registered on 2025-09-21. District ID 1, Police Station ID 3. Case status ID: 1. Gravity ID: 2.",1,6,2025-09-21,1
102,"Case 102 (Crime No: 100010002202505313): Online Financial Fraud reported near Bengaluru PS-2 jurisdiction. Registered on 2025-03-10. District ID 1, Police Station ID 2. Case status ID: 3. Gravity ID: 2.",1,9,2025-03-10,3
103,"Case 103 (Crime No: 100010003202609404): Chain Snatching reported near Bengaluru PS-3 jurisdiction. Registered on 2026-01-09. District ID 1, Police Station ID 3. Case status ID: 1. Gravity ID: 2.",1,6,2026-01-09,1
104,"Case 104 (Crime No: 100010003202601314): Online Financial Fraud reported near Bengaluru PS-3 jurisdiction. Registered on 2026-06-16. District ID 1, Police Station ID 3. Case status ID: 4. Gravity ID: 1.",1,9,2026-06-16,4
105,"Case 105 (Crime No: 100100046202415174): Drug Peddling reported near Davanagere PS-1 jurisdiction. Registered on 2024-08-10. District ID 10, Police Station ID 46. Case status ID: 1. Gravity ID: 1.",10,11,2024-08-10,1
106,"Case 106 (Crime No: 100060026202403252): Drug Peddling reported near Kalaburagi PS-3 jurisdiction. Registered on 2024-04-24. District ID 6, Police Station ID 26. Case status ID: 2. Gravity ID: 2.",6,11,2024-04-24,2
107,"Case 107 (Crime No: 100010002202403237): Chain Snatching reported near Bengaluru PS-2 jurisdiction. Registered on 2024-04-26. District ID 1, Police Station ID 2. Case status ID: 4. Gravity ID: 2.",1,6,2024-04-26,4
108,"Case 108 (Crime No: 100060024202403143): Drug Peddling reported near Kalaburagi PS-1 jurisdiction. Registered on 2024-06-15. District ID 6, Police Station ID 24. Case status ID: 2. Gravity ID: 1.",6,11,2024-06-15,2
109,"Case 109 (Crime No: 100010001202403107): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2024-01-18. District ID 1, Police Station ID 1. Case status ID: 2. Gravity ID: 2.",1,6,2024-01-18,2
110,"Case 110 (Crime No: 100030014202517666): Vehicle Theft reported near Mangaluru PS-6 jurisdiction. Registered on 2025-12-18. District ID 3, Police Station ID 14. Case status ID: 1. Gravity ID: 2.",3,5,2025-12-18,1
111,"Case 111 (Crime No: 100010004202400644): Chain Snatching reported near Bengaluru PS-4 jurisdiction. Registered on 2024-09-18. District ID 1, Police Station ID 4. Case status ID: 4. Gravity ID: 1.",1,6,2024-09-18,4
112,"Case 112 (Crime No: 100040017202615541): Grievous Hurt reported near Belagavi PS-3 jurisdiction. Registered on 2026-01-07. District ID 4, Police Station ID 17. Case status ID: 3. Gravity ID: 1.",4,2,2026-01-07,3
113,"Case 113 (Crime No: 100030012202603633): Vehicle Theft reported near Mangaluru PS-4 jurisdiction. Registered on 2026-06-06. District ID 3, Police Station ID 12. Case status ID: 2. Gravity ID: 2.",3,5,2026-06-06,2
114,"Case 114 (Crime No: 100010001202408684): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2024-11-01. District ID 1, Police Station ID 1. Case status ID: 1. Gravity ID: 1.",1,6,2024-11-01,1
115,"Case 115 (Crime No: 100010001202408693): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2024-09-06. District ID 1, Police Station ID 1. Case status ID: 2. Gravity ID: 1.",1,6,2024-09-06,2
116,"Case 116 (Crime No: 100100046202615101): Grievous Hurt reported near Davanagere PS-1 jurisdiction. Registered on 2026-01-25. District ID 10, Police Station ID 46. Case status ID: 2. Gravity ID: 1.",10,2,2026-01-25,2
117,"Case 117 (Crime No: 100050023202410978): Murder reported near Hubballi-Dharwad PS-5 jurisdiction. Registered on 2024-03-08. District ID 5, Police Station ID 23. Case status ID: 1. Gravity ID: 1.",5,1,2024-03-08,1
118,"Case 118 (Crime No: 100030010202501843): Vehicle Theft reported near Mangaluru PS-2 jurisdiction. Registered on 2025-12-20. District ID 3, Police Station ID 10. Case status ID: 1. Gravity ID: 1.",3,5,2025-12-20,1
119,"Case 119 (Crime No: 100030012202505966): Vehicle Theft reported near Mangaluru PS-4 jurisdiction. Registered on 2025-06-27. District ID 3, Police Station ID 12. Case status ID: 1. Gravity ID: 2.",3,5,2025-06-27,1
120,"Case 120 (Crime No: 100010004202503371): Chain Snatching reported near Bengaluru PS-4 jurisdiction. Registered on 2025-02-10. District ID 1, Police Station ID 4. Case status ID: 2. Gravity ID: 1.",1,6,2025-02-10,2
121,"Case 121 (Crime No: 100030011202506733): Vehicle Theft reported near Mangaluru PS-3 jurisdiction. Registered on 2025-10-01. District ID 3, Police Station ID 11. Case status ID: 2. Gravity ID: 2.",3,5,2025-10-01,2
122,"Case 122 (Crime No: 100010002202512864): Murder reported near Bengaluru PS-2 jurisdiction. Registered on 2025-12-24. District ID 1, Police Station ID 2. Case status ID: 2. Gravity ID: 1.",1,1,2025-12-24,2
123,"Case 123 (Crime No: 100030013202504495): Vehicle Theft reported near Mangaluru PS-5 jurisdiction. Registered on 2025-04-07. District ID 3, Police Station ID 13. Case status ID: 3. Gravity ID: 2.",3,5,2025-04-07,3
124,"Case 124 (Crime No: 100060028202405602): Drug Peddling reported near Kalaburagi PS-5 jurisdiction. Registered on 2024-11-28. District ID 6, Police Station ID 28. Case status ID: 1. Gravity ID: 1.",6,11,2024-11-28,1
125,"Case 125 (Crime No: 100010001202609888): Chain Snatching reported near Bengaluru PS-1 jurisdiction. Registered on 2026-05-19. District ID 1, Police Station ID 1. Case status ID: 1. Gravity ID: 1.",1,6,2026-05-19,1
126,"Case 126 (Crime No: 100070031202403181): Rioting reported near Ballari PS-2 jurisdiction. Registered on 2024-04-27. District ID 7, Police Station ID 31. Case status ID: 1. Gravity ID: 2.",7,13,2024-04-27,1
